temps;charge
24;98.92
748;96.38
1444;93.74
2184;91.01
2928;88.37
3672;85.83
4424;83.48
5164;81.04
5908;78.89
6648;76.54
7392;74.39
8136;72.34
8888;70.28
9640;68.13
10380;66.28
11164;64.32
11956;62.46
12752;60.51
13552;58.65
14420;56.79
15524;54.35
16632;52.20
17732;50.05
18836;48.00
19944;45.94
21048;44.09
22152;42.23
23256;40.57
24364;38.91
25468;37.34
26572;35.87
27676;34.41
28784;32.94
29888;31.57
30992;30.30
32096;29.03
33204;27.86
34308;26.78
35412;25.71
36516;24.73
37624;23.66
38728;22.68
39832;21.70
40936;20.92
42044;20.04
43148;19.16
44260;18.48
45356;17.79
46464;17.01
47568;16.42
48672;15.64
49776;15.05
50884;14.47
51988;13.98
53092;13.39
54196;12.90
55304;12.32
56408;11.93
57512;11.34
58616;10.95
59724;10.46
60828;10.17
61932;9.68
62952;9.38
63972;8.99
64992;8.70
66016;8.31
67036;8.02
68056;7.82
69076;7.62
70096;7.33
71116;7.04
72136;6.74
73156;6.45
74176;6.35
75196;6.06
76216;5.87
77236;5.67
78256;5.47
79276;5.28
80296;5.08
81316;4.89
82336;4.69
83356;4.59
84376;4.50
85396;4.20
86416;4.11
87436;4.01
88456;3.91
89476;3.71
90496;3.52
91516;3.32
92536;3.42
93556;3.23
94576;3.13
95596;2.93
96616;3.03
97636;2.83
98656;2.74
99676;2.54
100696;2.64
101800;2.44
102904;2.35
104008;2.35
105116;2.15
106220;2.05
107324;1.96
108428;1.96
109536;1.86
110640;1.86
111744;1.66
112848;1.66
113956;1.56
115060;1.56
116164;1.56
117268;1.37
118376;1.47
119480;1.47
120584;1.37
121692;1.27
122796;1.27
123900;1.17
125004;1.17
126112;1.17
127220;1.08
128320;0.98
129424;0.98
130532;0.98
131636;0.88
132740;0.78
133844;0.88
134948;0.88
136056;0.88
137160;0.88
138264;0.78
139368;0.68
140476;0.68
141580;0.68
142684;0.68
143788;0.68
144896;0.68
146000;0.59
147104;0.59
148208;0.59
149316;0.49
150420;0.49
151524;0.49
152628;0.39
153736;0.39
154844;0.39
155944;0.49
157048;0.39
158156;0.39
159260;0.29
160364;0.39
161468;0.49
162576;0.49
163680;0.39
164784;0.39
165888;0.39
166996;0.39
168100;0.29
169208;0.39
170308;0.29
171416;0.29
172520;0.20
173624;0.29
174728;0.20
175836;0.20
176940;0.20
178044;0.20
179148;0.29
180256;0.20
181360;0.20
182464;0.20
183568;0.20
184676;0.10
185780;0.20
186884;0.20
187988;0.20
189096;0.20
190200;0.10
191304;0.20
192408;0.20
193516;0.10
194620;0.10
195724;0.10
196836;0.10
197936;0.10
199040;0.10
200144;0.10
201248;0.10
202356;0.10
203460;0.10
204564;0.00
205668;0.20
206776;0.20
207880;0.20
208984;0.10
210088;0.20
211196;0.00
212300;0.10
213404;0.10
214508;0.10
215616;0.10
216720;0.10
217824;0.10
218928;0.00
220036;0.00
221140;0.00
222244;0.10
223348;0.00
224456;0.00
225560;0.10
226664;0.10
227768;0.20
228876;0.00
229980;0.10
231084;0.00
232188;0.10
233296;0.10
234400;0.00
235504;0.00
236608;0.00
237716;0.00
238824;0.00
239924;0.10
241028;0.10
242136;0.00
243240;0.00
244344;0.00
245448;0.00
246556;0.00
247660;0.00
248764;0.00
249868;0.00
250976;0.00
252080;0.00
253184;0.00
254288;0.10
255396;0.00
256500;0.00
257604;0.00
258708;0.00
259816;0.00
260920;0.10
262024;0.00
263128;0.00
264236;0.00
265340;0.00
266444;0.00
267548;0.00
268656;0.00
269760;0.00
